"decimalLongitude","decimalLatitude"
79.398705,12.247166
77.66336,12.685392
76.593056,10.303139
76.6444,10.500555
76.006744,11.509715
76.2445,11.7108
77.09205,12.029331
77.0085,11.823141
76.673,10.522805
76.969826,10.48106
76.01,11.9167
78.13208,9.929773
76.7657,10.37715
77.0088,10.198144
80.240234,12.742755
76.691,11.394
76.89073,10.416429
76.01667,11.8
76.704216,10.1177
76.9788,8.40046
76.90303,9.682041
76.5285,10.695567
76.489456,12.114365
76.67197,12.4207
77.17647,10.246017
76.515045,9.684531
76.16532,10.447504
77.0351,10.146663
77.24472,9.966917
76.52429,12.171083
76.69418,11.513668
78.4,13.65
77.10482,11.445467
76.84056,10.29072
76.98905,9.368333
76.927864,8.501878
76.77569,10.39288
76.49231,9.570198
76.38468,9.618257
77.419624,9.577053
77.59637,8.567367
76.05974,11.968608
76.64137,11.530818
76.22605,11.27705
76.99272,10.39454
77.53038,8.5379
76.63693,11.566889
76.64133,11.703213
76.63268,12.215935
76.453255,9.613772
79.346466,13.683446
76.69946,8.73961
76.87454,12.952428
77.16687,9.603138
76.672165,11.386148
76.15598,11.294073
77.10878,9.036597
77.20998,13.376155
76.75731,10.51067
76.588165,12.253029
77.08982,10.062871
77.06055,10.087716
76.13406,11.76664
76.62419,12.607914
76.921715,9.362467
77.72869,10.295666
76.242645,9.967238
76.41815,11.180549
77.63905,12.507981
76.70281,10.305718
77.500694,8.683416
77.57397,8.480884
77.56828,8.491567
76.66768,10.139085
76.47252,10.7146
77.47444,8.662972
77.07051,10.056427
76.74934,10.157505
77.03304,12.120648
76.53943,11.48887
76.67326,10.273661
76.67869,10.12414
77.13432,11.982233
76.46746,9.432855
77.08583,9.511066
76.196754,12.429793
76.93951,9.728947
77.035416,9.5358
76.470856,11.175708
76.592606,10.302861
76.601494,12.256079
77.68475,13.048026
77.583244,12.945958
76.90086,10.338821
76.6969,11.410818
76.24023,9.96399
76.71861,10.406998
77.60879,12.994375
76.93724,12.289017
77.5182,8.232124
77.183586,9.077349
76.634445,12.218006
77.14506,11.986012
76.67932,10.118474
77.601616,8.3727
77.00103,10.304264
77.41785,12.294007
77.285,10.0578
77.56867,12.704047
76.97326,8.398252
76.63333,10.533333
76.70611,10.549361
76.4308,9.648347
76.6871,10.419878
77.06223,10.086612
76.61667,12.272223
76.447205,9.504375
76.7159,10.097673
76.133,10.547137
77.54015,8.113663
77.5135,8.651222
76.25189,9.968946
76.703964,10.100698
76.67963,10.532813
76.625885,12.230333
76.25632,13.313458
76.61981,10.956865
80.15,12.5
77.36393,8.512116
76.67705,10.1183
77.35208,8.801
77.22,8.581217
76.7088,11.406111
76.73439,10.527
77.482834,8.660916
76.775764,10.392867
76.68516,11.538204
77.69,13.05
77.59299,12.975268
79.40247,12.244799
76.68431,10.107373
77.14579,8.535434
77.58602,13.06408
77.762215,12.113524
80.26909,13.008677
76.11339,10.505339
76.25133,10.342236
79.13388,10.760576
77.48935,12.809222
76.641556,11.56421
76.2573,11.786031
76.2884,12.293427
77.02589,9.282117
76.42914,12.119893
76.396866,11.715444
76.675354,10.127261
76.70281,12.328966
76.62287,10.859638
76.16583,10.176753
76.70072,10.12517
76.217415,11.645906
76.5833,11.7167
77.22507,10.0556
76.087105,11.852399
76.111244,11.951942
77.08122,9.434083
76.76615,10.122836
77.660385,13.186596
77.147575,11.985568
77.559235,8.6137
77.51864,8.630195
80.255,13.029
77.68425,13.371886
77.0801,11.4497
76.35,11.71667
77.05736,10.136671
77.20891,9.779623
76.85115,10.27933
76.64517,10.86635
76.127144,11.46665
76.70092,10.104559
77.36228,8.76705
76.83289,10.456552
77.07158,10.055488
76.416664,10.516666
77.53996,13.307444
76.875946,10.496004
77.14789,11.695609
77.41311,8.664028
77.47486,8.673778
76.792244,12.383767
76.066666,11.733334
76.38014,11.72147
77.22207,9.597834
76.987206,11.931265
77.13566,8.625565
77.163,8.674833
76.65591,12.426844
77.5358,10.268082
77.54228,8.3111
77.10872,10.063991
76.423805,9.629776
77.17331,9.558755
77.62,12.72
76.69318,12.04818
77.0864,10.1299
76.98903,9.810919
